Name,City,Country,Latitude,Longitude,Airport ID,IATA,ICAO
Camilla Mitchell County Airport,Camilla,United States,31.212900161743164,-84.23680114746094,13309,\N,KCXU
Clarenville Airport,Clarenville,Canada,48.27470016479492,-53.92390060424805,13311,\N,CCZ3
Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,Ponta Grossa,Brazil,-25.1847,-50.1441,13315,PGZ,SSZW
Palenque International Airport,Palenque,Mexico,17.533153,-92.015484,13334,PQM,MMPQ
Caloundra Airport,Caloundra,Australia,-26.79999923706055,153.10000610351562,13335,CUD,YCDR
Clarks Point Airport,Clarks Point,United States,58.83369827,-158.529007,13336,CLP,PFCL
Ospika Airport,Williston Lake,Canada,56.2750015258789,-124.052001953125,13339,\N,CBA9
Charlottetown Airport,Charlottetown,Canada,52.76499938964844,-56.1156005859375,13341,\N,CCH4
Doris Lake,Doris Lake,Canada,68.1252746582,-106.585281372,13342,JOJ,CDL7
Costa Esmeralda Airport,Tola,Nicaragua,11.427542,-86.033361,13344,ECI,MNCE
Monte Cristi Airport,Montecristi,Dominican Republic,19.865299224900006,-71.64530181880001,13346,\N,MDMC
El Papalon Airport,San Miguel,El Salvador,13.444100379943848,-88.12699890136719,13347,\N,MSSM
Sandpoint Airport,Sandpoint,United States,48.299499511719,-116.55999755859,13354,\N,KSZT
Attu Heliport,Attu,Greenland,67.9406628551,-53.6218696833,13355,QGQ,BGAT
Kangaatsiaq Heliport,Kangaatsiaq,Greenland,68.3126574861,-53.46020758149999,13356,QPW,BGKA
Kitsissuarsuit Heliport,Kitsissuarsuit,Greenland,68.85792599759999,-53.1232953072,13357,QJE,BGKT
Niaqornaarsuk Heliport,Niaqornaarsuk,Greenland,68.23638100000001,-52.852148,13358,\N,BGNK
Ilimanaq Heliport,Ilimanaq,Greenland,69.0809150007,-51.114315390600005,13359,XIQ,BGIL
Qeqertaq Heliport,Qeqertaq,Greenland,69.9958611087,-51.3009166718,13360,QQT,BGQE
Saqqaq Heliport,Saqqaq,Greenland,70.011448,-51.932142,13361,\N,BGSQ
Savissivik Heliport,Savissivik,Greenland,76.01861346460002,-65.11768341060001,13363,\N,BGSV
Siorapaluk Heliport,Siorapaluk,Greenland,77.7865173475,-70.6386566162,13364,\N,BGSI
Aappilattoq (Qaasuitsup) Heliport,Aappilattoq,Greenland,72.8870298223,-55.5962866545,13365,\N,BGAG
Innarsuit Heliport,Innaarsuit,Greenland,73.1998953377,-56.0108166933,13366,\N,BGIN
Kangersuatsiaq Heliport,Kangersuatsiaq,Greenland,72.38109155069999,-55.53658604619999,13367,\N,BGKS
Kullorsuaq Heliport,Kullorsuaq,Greenland,74.5780498288,-57.2268283367,13368,\N,BGKQ
Nuussuaq Heliport,Nuussuaq,Greenland,74.1098528514,-57.0650374889,13369,\N,BGNU
Tasiusaq (Qaasuitsup) Heliport,Tasiusaq,Greenland,73.37305450439999,-56.0602798462,13370,\N,BGTA
Upernavik Kujalleq Heliport,Upernavik Kujalleq,Greenland,72.15274252649999,-55.5309855938,13371,\N,BGKL
Aappilattoq (Kujalleq) Heliport,Aappilattoq,Greenland,60.148357,-44.286916,13372,\N,BGAQ
